sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon,po_code
719,PO_719,Shamirpet -506175,506175,postoffice,7,17.73861,79.12898,165896
720,PO_720,Kalwakurthy -509324,509324,postoffice,7,16.66494,78.49131,167408
721,PO_721,Sharajpet -508101,508101,postoffice,7,17.62552,79.10804,178934
722,PO_722,Kamsanipally -509376,509376,postoffice,7,16.50396,78.60942,284209
723,PO_723,Kandukur Bo -508248,508248,postoffice,7,16.65534,78.78342,263525
724,PO_724,Siddenki -506201,506201,postoffice,7,17.71529,79.09406,168755
725,PO_725,Khanapur Bo -508258,508258,postoffice,7,16.62005,78.79741,278402
726,PO_726,Siripuram Bo -506201,506201,postoffice,7,17.6337,79.16135,175764
727,PO_727,Konda Bheemana Pally Bo -508248,508248,postoffice,7,16.69188,78.88009,184483
728,PO_728,Somavaram -508105,508105,postoffice,7,17.7337,78.99589,192058
729,PO_729,Konda Bheemana Pally Bo -508248,508248,postoffice,7,16.69187,78.88009,184524
730,PO_730,Suddala -508277,508277,postoffice,7,17.53367,79.2008,196368
731,PO_731,Kondareddy Pally -509324,509324,postoffice,7,16.63785,78.59067,180278
732,PO_732,Sunkishala,,postoffice,7,17.4151,79.02391,181561
733,PO_733,Konetipur,,postoffice,7,16.6716,78.49371,180245
734,PO_734,Tangtoor -508101,508101,postoffice,7,17.65009,79.10839,178914
735,PO_735,Kurmidda -509320,509320,postoffice,7,16.67305,78.4495,253775
736,PO_736,Taramathipet -501505,501505,postoffice,7,17.35937,78.67817,265340
737,PO_737,Tekulasomaram -508285,508285,postoffice,7,17.40566,78.95517,183546
738,PO_738,Teriala -508111,508111,postoffice,7,17.54212,79.16706,202183
739,PO_739,Lingasanipally -509324,509324,postoffice,7,16.53176,78.47141,173946
740,PO_740,Town Bhongir -508117,508117,postoffice,7,17.5091,78.88839,173829
741,PO_741,Vaidehi Nagar -500070,500070,postoffice,7,17.32101,78.56958,165862
742,PO_742,Valigonda -508112,508112,postoffice,7,17.37533,79.02416,181738
743,PO_743,Vanaparthy -506303,506303,postoffice,7,17.62093,79.23531,167913
