sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon
73,src5_1332,adibatla x road,,src5,3,17.23807,78.541
74,1259,adibatla x road,,shakti-gtfs,5,17.23312,78.50427
75,src5_3401,adikmet,,src5,3,17.40667,78.51273
76,src5_3403,adikmet,,src5,3,17.40652,78.51253
77,1854,adikmet,,shakti-gtfs,5,17.4083,78.51427
78,src5_1325,adithya nagar,,src5,3,17.2328,78.54263
79,src5_1326,adithya nagar,,src5,3,17.23283,78.54247
80,src5_2034,aditya nagar,"aditya nagar, hafeezpet, hyderabad",src5,3,17.48205,78.36299
81,921,adraspally,,shakti-gtfs,5,17.61985,78.65992
82,node/886347477,aeroexpress,airport shuttle terminus,osm,4,17.439,78.5049
83,1242,afzalgunj,afzalgunj towards cbs,gps-logs-ghz|kodali-stops,2,17.37377,78.47804
84,1246,afzalgunj,afzalgunj towards osmangunj,gps-logs-ghz|kodali-stops,2,17.37373,78.47658
85,1583,afzalgunj,afzulgunj towards madina,gps-logs-ghz|kodali-stops,2,17.37294,78.47673
86,1620,afzalgunj,afzalgunj,gps-logs-ghz|kodali-stops,2,17.37341,78.4759
87,src5_2700,afzalgunj,,src5,3,17.36798,78.46879
88,src5_2705,afzalgunj,,src5,3,17.37431,78.46891
89,src5_2870,afzalgunj,,src5,3,17.3736,78.47585
90,src5_2871,afzalgunj,,src5,3,17.3739,78.47719
91,src5_2877,afzalgunj,,src5,3,17.37622,78.47533
92,node/626897410,afzalgunj,,osm,4,17.37297,78.47663
93,40,afzalgunj,,shakti-gtfs,5,17.37279,78.476
94,src5_2869,afzalgunj / afzalgunj central library,,src5,3,17.37363,78.4777
95,src5_2872,afzalgunj / afzalgunj central library,"national highway 65, ashok bazar, gowliguda, hyderabad",src5,3,17.37379,78.47808
96,2487,afzalgunj police station,afzalgunj police station,gps-logs-ghz,2,17.37214,78.47545
97,2492,afzalgunj police station,afzalgunj police station towards,gps-logs-ghz,2,17.3726,78.47574
98,933,afzalgunj ps,,shakti-gtfs,5,17.37151,78.47388
99,src5_2866,afzalgunj terminal,"afzalgunj road, osman shahi, gowliguda kaman, gowliguda, hyderabad",src5,3,17.37301,78.47659
100,src5_700,ag campus,"netaji nagar, katedan industrial area, hyderabad",src5,3,17.31456,78.42471
101,src5_702,ag campus,,src5,3,17.3138,78.42477
102,1775,ag college,ag.college,gps-logs-ghz|kodali-stops,2,17.31386,78.42467
103,1806,ag college,ag  college,gps-logs-ghz|kodali-stops,2,17.31442,78.42469
104,2319,ag college,,shakti-gtfs,5,17.32274,78.41839
105,62,ag college gate,,shakti-gtfs,5,17.31435,78.42455
106,1986,ag colony,ag colony,gps-logs-ghz|kodali-stops,2,17.4494,78.43042
107,1987,ag colony,ag colony towards esi,gps-logs-ghz|kodali-stops,2,17.44946,78.43059
108,src5_816,ag colony,,src5,3,17.44817,78.43033
109,src5_817,ag colony,"ag colony, hyderabad",src5,3,17.44834,78.43029
110,src5_831,ag colony,"ag colony road, vikaspuri, erragadda, hyderabad",src5,3,17.44955,78.43053
111,1066,ag colony,,shakti-gtfs,5,17.44831,78.42919
112,895,ag office,ag office towards lakidikapool,gps-logs-ghz|kodali-stops,2,17.40594,78.4673
113,1629,ag office,ag office towards secretariat,gps-logs-ghz|kodali-stops,2,17.40582,78.46715
114,250,ag office,,shakti-gtfs,5,17.40606,78.46723
